u,v,w,hgt
0.058541,0.4517103,0.004528132,1321.463
0.08889649,0.4988801,0.003111959,1320.46
0.1335744,0.5997525,0.0009788333,1321.311
0.1427006,0.9529415,-0.001669767,1324.761
0.1888992,1.441018,-0.001887477,1328.744
0.257917,1.637171,-0.0008148531,1330.452
0.2602502,1.339606,-0.0002081542,1331.189
0.2121842,0.8978856,-0.0004587014,1333.652
0.1298058,0.8366376,-0.01209743,1338.232
-0.7728087,1.119299,-0.1300062,1362.794
-2.321592,1.317644,-0.3457676,1450.677
-2.936832,1.462537,-0.311116,1583.615
-1.751364,1.324565,-0.1320825,1643.552
0.2204229,1.20955,-0.2133513,1566.728
1.371506,1.556578,-0.2910376,1432.896
1.968267,1.750814,-0.1566097,1349.303
1.660802,1.659738,-0.02322732,1330.771
0.4170471,1.893654,0.001083491,1330.952
-0.6463074,2.149002,-0.0008856904,1328.745
-0.7754781,1.858248,-0.000482549,1326.579
-0.4853589,1.27899,0.0001028116,1323.991
-0.121729,0.8647244,-8.11163e-05,1322.861
0.07779145,0.7710243,0.002268672,1323.286
-0.2273982,0.7980322,-0.01888504,1336.448
-0.9289366,0.7985235,-0.1012451,1376.299
-1.446021,0.3012906,-0.1598444,1436.634
-1.768554,-0.002274862,-0.1286821,1494.553
-1.749999,0.3932567,-0.1064003,1532.326
-1.217136,0.9265466,-0.2109605,1550.149
-0.03758004,1.157062,-0.253979,1512.207
1.378298,1.264938,-0.1478198,1439.475
1.468777,1.263372,-0.02784442,1417.509
-0.2757137,1.553388,-0.02106337,1432.303
-2.010996,1.852271,-0.07842767,1457.624
-2.20826,2.037496,-0.1332678,1494.122
-1.883528,2.411046,-0.1796281,1529.838
-1.854859,2.411649,-0.2057937,1569.796
-1.665724,2.290876,-0.1770905,1612.429
-0.7908735,2.459345,-0.1590668,1626.471
0.07896875,2.628761,-0.09661778,1600.083
-0.6400855,2.41076,-0.06006371,1603.488
-1.482624,2.023871,-0.07631077,1641.944
-0.4147074,1.597685,-0.1169857,1626.472
1.347799,1.391954,-0.1726564,1550.497
2.242662,1.249921,-0.1148229,1486.768
1.7541,1.274909,-0.03222547,1462.816
0.7124709,1.979352,-0.01603204,1454.932
0.2444226,2.694976,-0.02225988,1451.693
-0.02908626,2.694548,-0.03195114,1458.884
-0.3580712,2.449898,-0.04930063,1475.6
-0.463452,2.558433,-0.0943323,1485.992
0.05131433,0.1869925,0.005080479,1320.567
0.04625103,0.2337831,0.00367072,1317.942
0.06057097,0.2852728,0.001326896,1317.359
0.08696427,0.4909324,0.001627838,1319.571
0.1000131,0.8098128,0.004029328,1321.475
0.06754445,1.045823,0.003650807,1323.278
0.02528721,1.059035,0.001134146,1326.127
0.02867279,0.9021338,0.0001731762,1329.422
0.2897465,0.7859843,0.002022494,1331.401
0.009940601,0.8593757,-0.08642011,1339.755
-2.321561,0.8667739,-0.4085714,1421.736
-3.640961,0.8669711,-0.4564448,1571.084
-2.583978,0.3976682,-0.135222,1663.998
-0.4259183,-0.1209346,-0.156191,1626.949
1.196537,-0.0688049,-0.3007991,1476.633
1.942441,0.4227441,-0.1739289,1351.723
1.461602,0.9826424,-0.02319808,1326.544
0.2915874,1.628232,-0.0009787699,1329.569
-0.5166817,2.15123,-0.001356903,1327.291
-0.7222852,2.092034,-0.0001518733,1325.214
-0.4466591,1.335047,-7.552086e-05,1323.361
-0.04756884,0.7671425,0.0009349909,1322.533
0.1528799,0.6680776,0.001363877,1323.201
0.0819207,1.046939,-0.007127582,1326.635
-0.6083249,1.487709,-0.09547778,1344.166
-1.54017,1.302365,-0.2404261,1398.711
-1.907503,1.047245,-0.2685101,1468.019
-1.457682,1.416712,-0.2234821,1483.545
-0.601128,2.063143,-0.2384598,1452.43
0.1855231,2.298219,-0.1839747,1422.138
0.9329829,2.069186,-0.0555344,1403.584
0.8692348,1.559789,-0.004660584,1405.602
-0.4050686,1.619657,-0.01176364,1418.979
-1.772836,2.029948,-0.04485288,1433.783
-2.202404,2.24526,-0.07706486,1458.581
-2.02942,2.431026,-0.08768997,1490.776
-1.829784,2.637977,-0.1081736,1520.697
-1.559629,2.741192,-0.1214726,1549.962
-0.9306063,2.827831,-0.1063356,1563.414
-0.928475,2.155243,-0.06948818,1565.99
-2.040483,0.8419625,-0.1318352,1608.712
-2.360043,-0.03180907,-0.1234973,1677.507
-0.9145957,-0.2465183,-0.1157928,1679.3
1.085347,-0.1343728,-0.2229595,1580.323
2.145051,0.08375229,-0.1605565,1479.564
1.672554,0.632161,-0.03195493,1446.485
0.6459498,1.621875,-0.01268458,1443.26
0.4992647,2.48687,-0.01855405,1440.771
0.3273213,2.63752,-0.02472825,1445.027
-0.02287449,2.56032,-0.03922771,1457.327
-0.1194902,2.683382,-0.05895609,1462.888
0.1058948,0.09298968,0.004056868,1319.676
0.04009125,0.1273094,0.00386997,1317.265
0.03717267,0.1916484,0.00210882,1315.401
0.05655466,0.2477924,0.002202438,1314.868
0.05488538,0.2847785,0.00353452,1315.313
0.0001032711,0.425064,0.002017189,1317.785
-0.03583377,0.7141637,-0.000558292,1322.196
0.01023838,0.8876027,0.0001007926,1326.583
0.5004774,0.7927123,-0.00137833,1327.509
0.5001571,0.8278859,-0.04048899,1323.872
-1.731503,1.095953,-0.3311396,1377.719
-3.409217,1.089571,-0.5600994,1516.035
-2.66877,0.9123992,-0.3763526,1645.116
-0.8740274,0.5666713,-0.3514394,1647.333
1.195703,0.3631028,-0.4721361,1493.593
2.048802,0.4223622,-0.2608839,1351.176
1.439577,0.7151091,-0.02932665,1322.587
0.09956012,1.213838,-0.0008357097,1327.238
-0.464864,1.889471,-0.0006353944,1326.113
-0.5095913,1.918307,0.0004286501,1325.274
-0.2154877,1.072404,-0.0003176161,1323.506
0.06021859,0.5156238,0.001723117,1321.4
0.07825452,0.5063128,0.0025187,1322.386
0.08001851,0.9184308,-0.0004641242,1324.716
-0.1040924,1.516278,-0.02397312,1327.749
-0.810637,2.131474,-0.1298377,1347.692
-1.318208,2.464672,-0.2677742,1383.775
-1.119059,2.570547,-0.2441556,1401.422
-0.4762864,2.463335,-0.1299957,1394.342
0.1410156,2.43377,-0.06259902,1386.657
0.4133156,2.069335,-0.01825025,1387.088
0.03385089,1.538309,-0.008181775,1395.079
-0.9820325,1.503833,-0.01637065,1408.086
-2.017185,1.660212,-0.03305676,1424.41
-2.42152,1.736679,-0.04158081,1447.385
-2.17582,1.78747,-0.03219953,1472.744
-1.829987,2.00229,-0.0292983,1492.456
-1.670475,2.068066,-0.03487183,1507.812
-1.601397,1.992664,-0.0516953,1521.579
-2.189824,1.15854,-0.1313197,1550.28
-3.053061,0.1999916,-0.2299244,1628.518
-2.824513,-0.03324634,-0.1291518,1711.532
-1.035116,-0.0686116,-0.09305504,1693.841
1.007225,-0.1205191,-0.2135734,1583.634
1.914112,-0.163691,-0.1545884,1484.271
1.547303,0.2421669,-0.03433836,1442.773
0.663978,1.329677,-0.01095982,1433.281
0.6126348,2.301443,-0.01745934,1429.916
0.6539638,2.552289,-0.01998326,1432.621
0.4281779,2.541088,-0.02967226,1441.789
0.2069217,2.540491,-0.03762584,1446.238
0.1648201,0.09051258,0.001129573,1317.504
0.0413982,0.08732379,0.001454637,1316.848
0.0343048,0.1206457,0.002028774,1315.3
0.05120717,0.1211921,0.000994659,1313.712
0.04211794,0.07633065,-0.0005941277,1313.98
0.00574748,0.1061568,-0.002049951,1316.557
0.006920398,0.4605664,-0.001436759,1320.804
0.07427872,0.7988659,0.001410103,1324.518
0.467456,0.713351,0.0007562768,1325.649
0.695447,0.6735873,-0.002133401,1321.849
-0.4262194,1.439108,-0.1147578,1338.685
-2.311918,2.03242,-0.4029756,1419.795
-2.496443,2.570112,-0.5980502,1524.001
-1.062206,2.568827,-0.5912566,1535.47
0.804689,2.022255,-0.4296371,1436.129
1.629228,1.379094,-0.1709175,1344.455
1.067843,0.8884785,-0.0183583,1322.875
-0.121026,0.8684691,-0.0006009402,1325.502
-0.4245045,1.178437,-0.0001004829,1325.95
-0.2563971,1.178224,0.0004882233,1325.684
0.006614899,0.5944195,0.001154833,1322.772
0.07835855,0.2512293,0.002300703,1319.782
0.001443766,0.3976791,0.002944769,1319.197
-0.02707412,0.6896118,0.0002406139,1322.574
0.1189537,0.8523517,-0.001104958,1324.511
0.118502,1.661768,-0.0248352,1323.995
-0.2387462,2.521109,-0.08819951,1332.996
-0.5288484,2.688123,-0.09320077,1348.926
-0.5068387,2.402365,-0.04780022,1359.256
-0.3417063,2.17541,-0.02551595,1365.852
-0.3953498,1.751297,-0.01806624,1374.168
-0.9339373,1.415335,-0.02110261,1384.87
-1.809794,1.30889,-0.02889816,1399.295
-2.552647,1.211129,-0.03710071,1417.434
-2.740239,1.112942,-0.03455248,1437.575
-2.488189,0.9793534,-0.02459535,1456.705
-2.257521,0.9124358,-0.02491789,1476.692
-2.134806,0.8271279,-0.02542036,1499.578
-2.040185,0.7048498,-0.03515301,1523.318
-2.417744,0.5938253,-0.1251619,1556.392
-3.218485,0.4622565,-0.228498,1636.852
-3.041416,0.326521,-0.1240763,1727.609
-1.095417,0.206232,-0.1087532,1709.611
0.9463114,-0.0500268,-0.2363014,1596.205
1.769753,-0.2001787,-0.1712234,1493.244
1.710312,0.1699589,-0.05245047,1441.409
0.9394841,1.19774,-0.01347955,1424.867
0.6493523,2.175806,-0.01445015,1420.516
0.8060025,2.494163,-0.01664183,1421.625
0.8054008,2.464312,-0.02287079,1426.877
0.4875049,2.317305,-0.02596215,1430.306
0.2888713,0.08492915,0.003650489,1317.089
0.07483242,0.05562101,0.0009308959,1316.301
0.06019064,0.05399698,0.0004649608,1315.169
0.0803383,0.05534593,0.0001496411,1314.795
0.06095692,0.07676663,-0.00102714,1316.04
0.03009037,0.116629,-0.001382002,1317.671
0.07258679,0.3716999,0.0004082111,1319.566
0.1091691,0.60992,0.002299096,1321.565
0.2160577,0.564914,0.002079624,1323.297
0.5849121,0.3968899,0.0006681959,1323.422
0.5831339,1.06685,-0.009738866,1325.409
-0.7584621,2.51524,-0.1256962,1354.344
-1.676729,3.609269,-0.3660084,1394.001
-0.8844035,3.778717,-0.4202263,1390.642
0.2457326,3.14089,-0.2043933,1359.651
0.7329601,2.069776,-0.03605019,1336.968
0.3588366,0.9772961,-0.003104012,1327.096
-0.2952803,0.5801497,9.213555e-05,1325.453
-0.344254,0.5219718,2.137941e-05,1325.729
-0.1276197,0.3996636,0.001236608,1324.143
0.02028392,0.1809848,0.001998625,1320.387
0.02253194,0.09969667,0.001575474,1317.936
-0.01687726,0.2220972,0.00161705,1316.945
-0.05056502,0.4075092,0.0005339076,1318.665
0.03725638,0.2366899,-3.453865e-05,1321.338
0.2704056,0.3248169,0.0001667561,1322.793
0.3583841,0.835392,-0.001854037,1326.7
-0.04470287,1.324779,-0.009604139,1334.082
-0.7276234,1.54322,-0.01636627,1344.539
-1.130252,1.595182,-0.02035499,1355.329
-1.255363,1.488389,-0.02353777,1364.153
-1.742455,1.41421,-0.03094431,1375.319
-2.472128,1.217453,-0.0384287,1390.818
-2.956324,1.030046,-0.04123573,1408.78
-2.983719,0.883424,-0.04210112,1426.799
-2.869232,0.6359242,-0.0470777,1449.378
-2.74289,0.4347759,-0.04413545,1480.39
-2.355144,0.4130032,-0.02693403,1510.533
-2.037038,0.3703182,-0.02960268,1536.706
-2.310041,0.2608025,-0.1195226,1569.994
-2.944525,0.2050515,-0.2260867,1641.234
-2.859172,-0.1200646,-0.146011,1734.559
-1.38126,-0.4889456,-0.1206597,1758.452
0.5542495,-0.5591269,-0.3089705,1660.806
1.834883,-0.3681261,-0.2934356,1514.084
2.094918,0.1934328,-0.1059127,1432.763
1.272676,1.171861,-0.01611133,1416.564
0.6703211,2.111051,-0.01222417,1413.643
0.7972693,2.466518,-0.01503964,1413.234
0.97516,2.372845,-0.0175436,1415.469
0.647107,2.178834,-0.01826967,1418.276
0.6210263,-0.1021507,0.005403268,1318.517
0.3849016,-0.01720767,0.001989638,1315.783
0.2028126,-0.001652209,-0.0007988127,1314.218
0.1655426,-0.01503637,-0.0007321688,1315.025
0.09540743,0.06787854,-0.0004594714,1317.258
0.04919757,0.1779198,-0.0002187673,1317.797
0.120738,0.3626873,0.0003981412,1317.363
0.114508,0.3792201,0.0009480062,1318.775
0.08528939,0.4111893,0.001258167,1320.768
0.366116,0.3618205,0.001311004,1321.273
0.6803609,0.3655308,0.001962101,1321.343
0.3087111,1.513896,-0.008899282,1327.166
-0.5612037,2.806139,-0.06575606,1334.985
-0.7516595,3.194356,-0.08789238,1332.83
-0.4605488,2.860611,-0.03934443,1331.674
-0.2584529,1.876437,-0.003935457,1333.453
-0.2913786,0.8200947,0.0005472737,1328.523
-0.3801904,0.4356011,0.0004336992,1325.673
-0.302749,0.3017854,6.192124e-05,1325.758
-0.1087224,0.1601546,0.0009872746,1322.739
-0.02215713,0.04438414,0.0004812908,1319.368
-0.02507696,0.04381284,-0.0001440514,1317.554
-0.02425978,0.07502613,0.0003412695,1316.25
-0.04004065,0.2031787,0.0004055503,1316.068
-0.04083357,0.08496776,-0.000296217,1317.565
0.1327039,-0.1497116,3.960251e-05,1321.391
0.2897896,-0.2641837,0.0008893878,1326.252
-0.1501707,0.06653126,-0.003728229,1332.038
-1.121914,0.7439988,-0.01235514,1341.072
-1.749617,1.302386,-0.02011689,1349.105
-1.884843,1.410995,-0.02592994,1356.52
-2.358913,1.282495,-0.03336825,1367.966
-2.861289,1.076591,-0.03770801,1382.325
-2.988936,1.005277,-0.03829234,1399.487
-2.878134,1.006447,-0.04290458,1418.544
-2.806283,0.9379399,-0.05016325,1448.357
-2.623418,0.8115308,-0.03855172,1487.679
-2.229307,0.5294588,-0.02837504,1521.172
-2.115889,-0.3210316,-0.07096431,1558.742
-2.310602,-1.219188,-0.1904135,1622.595
-2.196728,-1.353823,-0.2486462,1702.292
-1.792582,-1.363726,-0.154981,1758.344
-1.249659,-1.364554,-0.1071381,1793.575
0.4291289,-0.9762415,-0.3550653,1731.488
2.100293,-0.379732,-0.4654468,1545.733
2.461423,0.1924153,-0.1953336,1425.471
1.552659,1.11171,-0.01757791,1409.191
0.7061784,2.106143,-0.01083955,1406.964
0.7129213,2.500195,-0.01400642,1405.491
0.9385592,2.381419,-0.01622196,1406.369
0.6671368,2.188398,-0.01678178,1408.554
0.8915706,-0.3913563,0.0008341938,1318.246
0.7518233,-0.1954178,0.0003053588,1314.612
0.5007854,-0.09222332,-0.001049142,1312.483
0.3199127,-0.09934797,-0.001267139,1313.041
0.147347,0.01470554,-0.001198978,1315.02
0.04913399,0.1142054,-0.0003120362,1315.035
0.06986342,0.2265089,-3.401471e-05,1314.358
0.08938333,0.2549442,-5.69949e-05,1316.637
0.08997251,0.3260344,0.0008637142,1318.392
0.1896597,0.3503737,0.001126989,1317.875
0.3394166,0.1649349,0.0005813035,1318.031
0.2604285,0.1833515,0.002297156,1318.936
-0.3822105,0.8390656,0.002042898,1322.114
-0.9653305,1.532518,-0.001830554,1325.782
-1.04977,1.682614,-0.001344878,1328.495
-0.8259541,1.1878,0.0001670039,1328.867
-0.5573522,0.6006904,0.001723794,1325.417
-0.4566357,0.3923729,0.0009251941,1324.846
-0.3265568,0.3002564,0.0008410925,1325.343
-0.1685825,0.2094957,0.0006812515,1321.98
-0.1317891,0.1325562,0.0001728467,1319.406
-0.1039917,0.1063241,-0.0002080919,1318.133
-0.04573049,0.1176539,0.0001799143,1316.166
-0.04645319,0.08355442,0.0005804269,1314.793
-0.04963579,0.0206245,0.0003996959,1315.139
0.05570471,-0.05829893,0.000820403,1317.268
0.07164194,-0.1538132,0.0007363971,1321.811
-0.4907622,0.06860076,-0.004517135,1329.243
-1.449538,0.7475694,-0.01199364,1336.278
-2.040548,1.350692,-0.02064577,1341.657
-2.346936,1.360139,-0.02785922,1349.384
-2.696405,1.145375,-0.0334474,1360.558
-2.855402,0.9900291,-0.03459653,1375.808
-2.723858,0.959072,-0.03008294,1397.33
-2.516575,1.00422,-0.02802353,1423.058
-2.428659,0.9968844,-0.03086525,1457.168
-2.265182,0.7732168,-0.0274181,1497.519
-2.128095,-0.07095117,-0.05434551,1534.343
-2.298911,-1.289649,-0.1609068,1599.527
-2.325191,-2.250408,-0.2911651,1709.91
-1.87362,-2.729062,-0.3128794,1801.971
-1.18395,-2.436964,-0.1774336,1827.214
-0.5336652,-1.66745,-0.1031449,1822.427
0.779248,-0.6938594,-0.3521292,1736.235
2.187276,-0.003745125,-0.481503,1544.185
2.463902,0.3115718,-0.2066882,1422.467
1.549616,1.011658,-0.01757606,1404.521
0.6360742,1.987306,-0.006638804,1401.233
0.634843,2.489033,-0.009342595,1398.86
0.81387,2.43135,-0.01240115,1397.391
0.5572315,2.235418,-0.01292882,1398.215
0.9015086,-0.5932875,-0.001882525,1314.666
0.8547609,-0.4480951,-0.00119231,1312.5
0.6936305,-0.2783191,-0.000987911,1310.974
0.4495866,-0.1928535,-0.001050911,1310.103
0.1848398,-0.02494914,-0.001429956,1310.867
0.05602025,0.00293871,-0.000384836,1311.4
0.06652471,0.04487364,5.860711e-05,1311.26
0.06459108,0.2167812,-0.0002340193,1313.671
0.07139803,0.3505238,-5.863112e-06,1315.651
0.0990214,0.358822,0.0003175614,1315.576
0.06282528,0.1930631,0.0004684623,1316.866
-0.2232302,-0.0819861,0.0002742498,1319.066
-0.7143372,-0.2954768,0.0008574285,1321.097
-1.08762,0.1574573,0.003019367,1322.725
-1.0922,0.6284629,0.003234841,1323.514
-0.8281111,0.6207071,0.002997187,1323.199
-0.5710981,0.4001826,0.001987605,1322.359
-0.4689772,0.3443736,0.001385586,1323.028
-0.3624682,0.377615,0.001098854,1322.517
-0.2725165,0.4021654,0.0005302121,1319.486
-0.2522235,0.3420223,0.0003916953,1318.106
-0.1821855,0.2561345,0.0003544851,1317.439
-0.09120835,0.1716224,0.0005001312,1314.974
-0.07032257,0.03734436,0.0006471777,1312.783
-0.08847206,-0.008060084,0.0004410004,1313.057
